timestamp,open,low,high,close,volume
2019-01-01,8225,8225,8225,8225,0
2019-01-02,8200,8125,8275,8200,14014100
2019-01-03,8100,8100,8400,8375,25148400
2019-01-04,8400,8200,8450,8350,32475900
2019-01-07,8450,8150,8475,8150,32649700
2019-01-08,8150,8125,8225,8175,29130800
2019-01-09,8225,8150,8275,8200,42977800
2019-01-10,8175,7950,8200,8200,76803900
2019-01-11,8300,8225,8300,8300,32212200
2019-01-14,8225,8050,8225,8150,40449800
2019-01-15,8150,8050,8150,8150,56524700
2019-01-16,8175,8125,8250,8250,33593600
2019-01-17,8250,8200,8325,8275,38888100
2019-01-18,8300,8275,8475,8475,45180500
2019-01-21,8475,8300,8550,8325,39949600
2019-01-22,8375,8150,8375,8200,33129500
2019-01-23,8200,8175,8275,8175,26554900
2019-01-24,8225,8225,8450,8425,56764700
2019-01-25,8475,8275,8475,8425,27967500
2019-01-28,8450,8275,8450,8375,25672700
2019-01-29,8375,8275,8400,8375,34675500
2019-01-30,8275,8225,8375,8350,40835000
2019-01-31,8375,8325,8450,8450,49304900
2019-02-01,8475,8350,8500,8450,23915300
2019-02-04,8450,8175,8475,8200,27634200
2019-02-05,8200,8200,8200,8200,0
2019-02-06,8275,8225,8350,8225,28617900
2019-02-07,8225,8150,8275,8200,27500100
2019-02-08,8150,8100,8225,8150,36834100
2019-02-11,8125,8000,8150,8000,34439900
2019-02-12,8000,7650,8000,7650,84655500
2019-02-13,7700,7550,7775,7675,60065900
2019-02-14,7775,7550,7775,7600,37462300
2019-02-15,7650,7525,7650,7600,51353000
2019-02-18,7725,7700,7925,7875,39041200
2019-02-19,7800,7725,7875,7775,24292900
2019-02-20,7850,7625,7875,7775,46538800
2019-02-21,7700,7650,7725,7700,41248700
2019-02-22,7650,7575,7700,7625,32076500
2019-02-25,7625,7575,7800,7650,34983600
2019-02-26,7625,7600,7675,7600,29923400
2019-02-27,7650,7525,7650,7600,38903200
2019-02-28,7550,7150,7550,7150,119005400
2019-03-01,7250,7225,7400,7225,56265500
2019-03-04,7200,7150,7275,7150,31484700
2019-03-05,7125,7025,7375,7300,60708500
2019-03-06,7400,7275,7400,7325,35643300
2019-03-07,7325,7325,7325,7325,0
2019-03-08,7200,7150,7225,7150,86989800
2019-03-11,7300,7175,7300,7225,33829300
2019-03-12,7250,7175,7350,7175,36724200
2019-03-13,7100,7100,7150,7125,35882400
2019-03-14,7125,7125,7250,7200,29057900
2019-03-15,7200,7200,7375,7325,39356200
2019-03-18,7300,7275,7375,7325,32558100
2019-03-19,7300,7225,7325,7275,40585700
2019-03-20,7300,7225,7350,7275,30377700
2019-03-21,7300,7225,7325,7250,31066900
2019-03-22,7275,7225,7300,7225,13387300
2019-03-25,7175,7000,7175,7050,51758500
2019-03-26,7100,7075,7175,7100,23711700
2019-03-27,7175,7100,7200,7175,12546100
2019-03-28,7150,7050,7150,7100,17584700
2019-03-29,7100,7100,7300,7300,30122900
2019-04-01,7375,7275,7400,7350,13152600
2019-04-02,7325,7300,7450,7425,28647700
2019-04-03,7425,7425,7425,7425,0
2019-04-04,7500,7500,7625,7550,38598100
2019-04-05,7575,7500,7650,7650,21303800
2019-04-08,7600,7375,7625,7525,23973800
2019-04-09,7475,7475,7700,7675,31230600
2019-04-10,7725,7625,7725,7650,18506200
2019-04-11,7675,7475,7675,7525,17082800
2019-04-12,7450,7450,7575,7525,12332300
2019-04-15,7575,7475,7625,7600,30002000
2019-04-16,7550,7550,7800,7750,37600500
2019-04-17,7750,7750,7750,7750,0
2019-04-18,7925,7775,8025,7850,88459900
2019-04-19,7850,7850,7850,7850,0
2019-04-22,7850,7500,7850,7525,33999600
2019-04-23,7625,7550,7675,7650,30486900
2019-04-24,7625,7600,7675,7650,22044600
2019-04-25,7550,7400,7600,7550,34998300
2019-04-26,7475,7475,7650,7650,31531100
2019-04-29,7525,7500,7700,7600,33169300
2019-04-30,7650,7575,7675,7625,29569700
2019-05-01,7625,7625,7625,7625,0
2019-05-02,7600,7450,7675,7475,37010600
2019-05-03,7475,7400,7500,7425,30801100
2019-05-06,7350,7300,7450,7425,22291100
2019-05-07,7400,7375,7550,7525,22700800
2019-05-08,7450,7375,7475,7400,22454500
2019-05-09,7325,7125,7350,7150,42585100
2019-05-10,7200,7075,7225,7175,37086400
2019-05-13,7100,6975,7150,7025,26992400
2019-05-14,6900,6825,7050,7000,47782200
2019-05-15,7075,6875,7075,6950,30786000
2019-05-16,6900,6725,6950,6775,47245500
2019-05-17,6900,6700,6925,6700,25102800
2019-05-20,6650,6625,6925,6900,28865800
2019-05-21,6925,6925,7050,7000,35020100
2019-05-22,7000,6850,7025,7000,22967500
2019-05-23,7000,6975,7125,7100,26460200
2019-05-24,7125,7050,7200,7175,22372000
2019-05-27,7175,7100,7225,7125,20859100
2019-05-28,7200,7050,7200,7075,77066000
2019-05-29,7075,7050,7275,7200,28805600
2019-05-30,7200,7200,7200,7200,0
2019-05-31,7250,7175,7450,7450,46478800
2019-06-03,7450,7450,7450,7450,0
2019-06-04,7450,7450,7450,7450,0
2019-06-05,7450,7450,7450,7450,0
2019-06-06,7450,7450,7450,7450,0
2019-06-07,7450,7450,7450,7450,0
2019-06-10,7575,7550,7700,7675,50332200
2019-06-11,7525,7450,7675,7625,37387000
2019-06-12,7500,7450,7575,7500,27570300
2019-06-13,7450,7375,7525,7500,33860400
2019-06-14,7500,7400,7575,7425,28282900
2019-06-17,7425,7375,7450,7375,11239700
2019-06-18,7425,7400,7500,7500,17393200
2019-06-19,7425,7400,7500,7500,0
2019-06-20,7575,7500,7625,7600,26961500
2019-06-21,7625,7350,7625,7450,72597200
2019-06-24,7375,7300,7450,7350,23779400
2019-06-25,7275,7275,7400,7350,23606900
2019-06-26,7375,7225,7375,7250,20215500
2019-06-27,7250,7250,7425,7375,24916300
2019-06-28,7400,7350,7475,7450,22286100
2019-07-01,7475,7300,7500,7375,28466100
2019-07-02,7400,7250,7400,7300,30466600
2019-07-03,7275,7225,7350,7275,30525700
2019-07-04,7300,7200,7300,7250,25196500
2019-07-05,7200,7150,7250,7150,17084700
2019-07-08,7225,7175,7325,7300,20878100
2019-07-09,7325,7225,7325,7275,21689700
2019-07-10,7325,7300,7450,7450,39466400
2019-07-11,7475,7425,7525,7525,33821300
2019-07-12,7500,7400,7500,7450,31711400
2019-07-15,7500,7400,7500,7425,26628700
2019-07-16,7450,7400,7475,7450,18188000
2019-07-17,7400,7100,7400,7100,56668400
2019-07-18,7100,7075,7200,7150,22334900
2019-07-19,7175,7075,7200,7100,28008400
2019-07-22,7100,7050,7150,7100,18040600
2019-07-23,7150,7125,7200,7150,25156100
2019-07-24,7225,7175,7250,7175,25597700
2019-07-25,7225,7175,7300,7300,35643500
2019-07-26,7175,7075,7175,7075,26627900
2019-07-29,7075,7050,7175,7175,18841000
2019-07-30,7175,7175,7275,7275,30765800
2019-07-31,7150,7000,7200,7000,61515300
2019-08-01,7000,6975,7075,7025,37270900
2019-08-02,6950,6950,7100,7075,40942800
2019-08-05,6975,6900,7025,6925,44819000
2019-08-06,6800,6750,6900,6750,55429900
2019-08-07,6750,6725,6850,6725,31631500
2019-08-08,6750,6750,6950,6900,31521500
2019-08-09,6900,6775,6950,6775,22712900
2019-08-12,6850,6725,6850,6750,17186100
2019-08-13,6750,6600,6750,6675,34123600
2019-08-14,6725,6600,6750,6675,36012100
2019-08-15,6600,6500,6625,6525,36960700
2019-08-16,6575,6500,6600,6500,24416100
2019-08-19,6600,6425,6600,6425,31718800
2019-08-20,6475,6375,6500,6425,29465900
2019-08-21,6425,6350,6500,6350,21306900
2019-08-22,6375,6250,6400,6325,53070300
2019-08-23,6350,6275,6575,6575,35340800
2019-08-26,6475,6425,6650,6575,24275700
2019-08-27,6625,6500,6625,6525,79684000
2019-08-28,6525,6425,6575,6450,28499000
2019-08-29,6475,6425,6500,6425,18028100
2019-08-30,6500,6475,6750,6675,53158400
2019-09-02,6725,6550,6725,6550,18009100
2019-09-03,6600,6400,6600,6475,26812500
2019-09-04,6475,6375,6500,6500,25562700
2019-09-05,6575,6525,6700,6700,26551900
2019-09-06,6725,6650,6750,6750,21425300
2019-09-09,6750,6625,6750,6650,21619600
2019-09-10,6675,6600,6725,6675,20241600
2019-09-11,6700,6675,6925,6925,29449700
2019-09-12,6900,6750,6925,6750,18842400
2019-09-13,6850,6725,6875,6750,13398000
2019-09-16,6750,6575,6775,6700,25529200
2019-09-17,6700,6475,6725,6475,27745300
2019-09-18,6525,6500,6700,6700,24627700
2019-09-19,6725,6575,6725,6600,13478800
2019-09-20,6575,6525,6600,6575,45888900
2019-09-23,6575,6550,6625,6625,14044900
2019-09-24,6575,6450,6625,6475,29738600
2019-09-25,6400,6400,6500,6500,17781500
2019-09-26,6575,6525,6700,6700,37979500
2019-09-27,6700,6600,6700,6650,9831000
2019-09-30,6650,6575,6675,6600,21089600
2019-10-01,6550,6550,6625,6550,7452500
2019-10-02,6500,6450,6550,6450,11128500
2019-10-03,6400,6300,6500,6475,20769800
2019-10-04,6550,6400,6550,6425,10680600
2019-10-07,6400,6300,6450,6325,13250100
2019-10-08,6325,6275,6400,6350,25385900
2019-10-09,6300,6250,6350,6275,15376200
2019-10-10,6275,6250,6350,6275,12172600
2019-10-11,6275,6275,6475,6475,16181100
2019-10-14,6550,6375,6600,6425,21236100
2019-10-15,6400,6350,6425,6400,20590600
2019-10-16,6400,6300,6425,6375,32586000
2019-10-17,6350,6325,6625,6625,49979500
2019-10-18,6650,6550,6750,6700,38012800
2019-10-21,6700,6600,6750,6725,12245000
2019-10-22,6750,6550,6750,6750,32099000
2019-10-23,6700,6650,6775,6750,28015600
2019-10-24,6800,6750,6975,6950,44294700
2019-10-25,6950,6775,6975,6800,25245600
2019-10-28,6800,6775,6900,6900,12206400
2019-10-29,6875,6875,6975,6975,32681600
2019-10-30,7000,6875,7000,6950,22319800
2019-10-31,6950,6825,6975,6950,26502100
2019-11-01,6975,6725,6975,6800,17213000
2019-11-04,6800,6700,6825,6700,19339100
2019-11-05,6775,6750,6950,6900,42041800
2019-11-06,6975,6825,6975,6850,29565500
2019-11-07,6925,6650,6925,6725,29891900
2019-11-08,6700,6550,6700,6625,34878600
2019-11-11,6650,6550,6650,6650,19373700
2019-11-12,6650,6550,6800,6775,29633100
2019-11-13,6775,6675,6775,6725,20566300
2019-11-14,6675,6550,6700,6575,18695900
2019-11-15,6650,6475,6650,6525,30343300
2019-11-18,6525,6525,6600,6600,27729100
2019-11-19,6650,6575,6700,6650,18139800
2019-11-20,6600,6550,6675,6625,24083000
2019-11-21,6550,6525,6650,6600,19675100
2019-11-22,6600,6575,6650,6625,23600000
2019-11-25,6600,6475,6600,6500,24848800
2019-11-26,6575,6350,6575,6350,79166300
2019-11-27,6400,6350,6475,6425,37566700
2019-11-28,6425,6350,6425,6400,17353400
2019-11-29,6400,6375,6575,6500,33440400
2019-12-02,6500,6500,6650,6650,22114700
2019-12-03,6650,6525,6675,6525,15510600
2019-12-04,6500,6475,6575,6550,16154100
2019-12-05,6600,6550,6700,6700,26468200
2019-12-06,6675,6625,6775,6775,27395100
2019-12-09,6775,6625,6775,6675,16336900
2019-12-10,6625,6625,6750,6650,19229100
2019-12-11,6675,6550,6675,6550,22787600
2019-12-12,6575,6550,6600,6550,16626700
2019-12-13,6700,6700,6900,6850,66943600
2019-12-16,6900,6875,7025,6975,43517600
2019-12-17,6975,6875,7000,6950,29835500
2019-12-18,6875,6750,6925,6900,31614900
2019-12-19,6875,6775,6900,6850,17259400
2019-12-20,6850,6750,6925,6925,38886700
2019-12-23,7000,6775,7000,6900,23654800
2019-12-24,7000,6775,7000,6900,0
2019-12-25,7000,6775,7000,6900,0
2019-12-26,6800,6800,6950,6875,18685200
2019-12-27,6925,6850,6925,6925,13714400
2019-12-30,6925,6850,6950,6925,25494000
2019-12-31,6925,6850,6950,6925,0
2020-01-01,6925,6850,6950,6925,0
2020-01-02,6925,6775,6925,6875,15008600
2020-01-03,6925,6825,6950,6950,19068800
2020-01-06,6900,6750,6900,6750,22261900
2020-01-07,6800,6675,6825,6775,27963000
2020-01-08,6700,6700,6825,6775,15150400
2020-01-09,6800,6750,6875,6875,19691200
2020-01-10,6900,6825,6925,6825,17687600
2020-01-13,6850,6825,6925,6925,29585200
2020-01-14,6975,6925,7175,7175,41214400
2020-01-15,7150,7025,7250,7200,38535100
2020-01-16,7125,7075,7200,7125,38504400
2020-01-17,7075,7000,7150,7075,26714800
2020-01-20,7100,6975,7125,7000,22389100
2020-01-21,7025,6925,7025,7025,12520300
2020-01-22,7025,6975,7075,7000,20100300
2020-01-23,7050,7000,7100,7050,18020200
2020-01-24,7000,6975,7050,6975,13710000
2020-01-27,6975,6700,6975,6725,17470800
2020-01-28,6675,6650,6825,6825,23466100
2020-01-29,6850,6750,6850,6825,12646100
2020-01-30,6775,6625,6800,6625,25324800
2020-01-31,6650,6350,6675,6350,66460400
2020-02-03,6275,6250,6425,6275,34538400
2020-02-04,6350,6300,6450,6400,46272800
2020-02-05,6450,6300,6500,6400,32227100
2020-02-06,6500,6425,6525,6500,26015800
2020-02-07,6550,6400,6550,6400,13918700
2020-02-10,6400,6175,6400,6200,45366900
2020-02-11,6300,6050,6300,6100,54325000
2020-02-12,6075,5925,6100,5975,51100700
2020-02-13,5975,5925,6025,5950,33021700
2020-02-14,5975,5925,6100,6100,60901000
2020-02-17,6150,6050,6175,6100,16567600
2020-02-18,6050,6050,6200,6100,27960300
2020-02-19,6175,6150,6250,6250,35186100
2020-02-20,6275,6125,6275,6275,37995400
2020-02-21,6275,6150,6300,6200,33804700
2020-02-24,6050,6025,6150,6100,34190600
2020-02-25,6000,5975,6275,6225,40723200
2020-02-26,6100,6050,6150,6050,34453700
2020-02-27,6100,5950,6100,5950,44801100
2020-02-28,5850,5525,5850,5525,100693900
2020-03-02,5700,5625,5850,5700,63765800
2020-03-03,5850,5775,5975,5900,53817300
2020-03-04,5900,5875,6025,5975,43566600
2020-03-05,6025,5875,6050,6050,40537300
2020-03-06,5950,5675,5950,5675,31282500
2020-03-09,5500,5025,5500,5025,87904100
2020-03-10,5100,5100,5325,5150,86444600
2020-03-11,5150,5050,5175,5125,45134700
2020-03-12,5000,4820,5025,4910,64824200
2020-03-13,4910,4910,4910,4910,0
2020-03-16,4770,4530,4770,4590,55655900
2020-03-17,4590,4270,4600,4270,67166600
2020-03-18,4290,3980,4350,4150,61972000
2020-03-19,4020,3860,4020,3860,27066700
2020-03-20,3890,3590,3900,3780,141147800
2020-03-23,3780,3520,3780,3520,40318500
2020-03-24,3570,3280,3610,3280,89502100
2020-03-25,3570,3280,3610,3280,0
2020-03-26,3220,3220,3680,3620,180290700
2020-03-27,3650,3650,4360,4080,150312000
2020-03-30,4080,3800,4080,3800,45490800
2020-03-31,3880,3740,3980,3900,62534800
2020-04-01,3880,3650,4090,3770,78042900
2020-04-02,3670,3580,3930,3930,39717300
2020-04-03,3990,3860,4050,3900,42577100
2020-04-06,3920,3880,4040,4030,71205800
2020-04-07,4060,3960,4250,4060,79018000
2020-04-08,4000,3810,4030,3850,55980400
2020-04-09,3870,3870,4120,4090,53526100
2020-04-10,3870,3870,4120,4090,0
2020-04-13,4090,3920,4150,3960,27520900
2020-04-14,3960,3920,4030,3960,64571400
2020-04-15,4000,3800,4000,3820,86149800
2020-04-16,3780,3620,3780,3620,61494300
2020-04-17,3680,3680,3840,3800,78593000
2020-04-20,3800,3710,3830,3720,50406600
2020-04-21,3710,3610,3740,3640,36590700
2020-04-22,3600,3450,3660,3640,76750500
2020-04-23,3700,3650,3790,3760,85068700
2020-04-24,3760,3610,3760,3630,49597000
2020-04-27,3670,3570,3760,3710,45682200
2020-04-28,3750,3630,3790,3740,53532700
2020-04-29,3770,3650,3780,3690,40557200
2020-04-30,3750,3720,3860,3850,92257000
2020-05-01,3750,3720,3860,3850,0
2020-05-04,3750,3610,3750,3610,71301800
2020-05-05,3630,3580,3660,3610,54983300
2020-05-06,3610,3580,3680,3640,70425000
2020-05-07,3610,3580,3680,3640,0
2020-05-08,3690,3600,3740,3740,63346500
2020-05-11,3760,3750,3920,3920,79511800
2020-05-12,3920,3780,3920,3820,58347900
2020-05-13,3820,3710,3820,3730,44974600
2020-05-14,3700,3530,3710,3570,80570900
2020-05-15,3590,3560,3720,3710,65284900
2020-05-18,3720,3710,3950,3910,88368200
2020-05-19,4000,3940,4040,3950,77238800
2020-05-20,3950,3870,3980,3970,38965700
2020-05-21,3950,3870,3980,3970,0
2020-05-22,3950,3870,3980,3970,0
2020-05-25,3950,3870,3980,3970,0
2020-05-26,3970,3970,4360,4330,116041900
2020-05-27,4350,4220,4390,4350,68841200
2020-05-28,4370,4350,4580,4540,86825700
2020-05-29,4520,4470,4770,4770,164786500
2020-06-01,4520,4470,4770,4770,0
2020-06-02,4760,4630,4950,4730,72425900
2020-06-03,4750,4680,4950,4890,76654100
2020-06-04,4950,4740,4960,4760,82711000
2020-06-05,4780,4670,5025,5000,63578800
2020-06-08,5250,4990,5250,5025,53808200
2020-06-09,5100,4980,5125,5000,43049500
2020-06-10,5025,4650,5025,4850,39812900
2020-06-11,4840,4660,4840,4700,53920100
2020-06-12,4590,4400,4820,4790,45837700
2020-06-15,4800,4700,4850,4740,42880500
2020-06-16,4800,4800,5000,4970,38736700
2020-06-17,4990,4910,5000,4970,24744500
2020-06-18,4970,4800,4970,4800,40331900
2020-06-19,4830,4800,4910,4890,62874800
2020-06-22,4930,4850,4940,4890,25097200
2020-06-23,4890,4850,4940,4900,29490500
2020-06-24,4920,4900,5050,5000,55421700
2020-06-25,4840,4800,4920,4900,34952700
2020-06-26,4950,4900,4950,4900,24019200
2020-06-29,4900,4750,4900,4800,29368700
2020-06-30,4840,4800,4880,4800,25197000
2020-07-01,4800,4770,4860,4810,22586000
2020-07-02,4830,4810,4890,4870,26575000
2020-07-03,4880,4840,4910,4850,20400200
2020-07-06,4860,4840,4900,4840,17783800
2020-07-07,4900,4800,4910,4830,46178600
2020-07-08,4840,4770,4930,4910,45246000
2020-07-09,4930,4880,5000,4900,33377800
2020-07-10,4880,4830,4920,4830,23181700
2020-07-13,4850,4850,4910,4900,22481400
2020-07-14,4900,4880,4950,4950,22418400
2020-07-15,4990,4970,5200,5150,64249400
2020-07-16,5150,5150,5350,5250,72113500
2020-07-17,5300,5200,5300,5200,46235300
2020-07-20,5200,5025,5225,5100,24829000
2020-07-21,5100,5100,5450,5375,51878900
2020-07-22,5375,5200,5400,5300,29493500
2020-07-23,5300,5125,5325,5175,27787400
2020-07-24,5175,5000,5175,5050,32338100
2020-07-27,5075,5025,5150,5125,17645200
2020-07-28,5175,5100,5225,5175,30210400
2020-07-29,5175,5050,5225,5075,32010100
2020-07-30,5025,5000,5225,5150,32720500
2020-07-31,5025,5000,5225,5150,0
2020-08-03,5100,4860,5150,4880,66053200
2020-08-04,4900,4900,4960,4960,32307000
2020-08-05,4970,4950,5100,5050,22883900
2020-08-06,5075,5050,5225,5225,45906700
2020-08-07,5225,5100,5300,5275,35036700
2020-08-10,5275,5125,5275,5125,30588200
2020-08-11,5175,5150,5250,5225,19877700
2020-08-12,5225,5175,5400,5400,31304300
2020-08-13,5450,5375,5550,5400,36344700
2020-08-14,5400,5350,5450,5375,15337700
2020-08-17,5400,5350,5450,5375,0
2020-08-18,5325,5300,5450,5375,34974800
2020-08-19,5425,5250,5425,5300,24870200
2020-08-20,5425,5250,5425,5300,0
2020-08-21,5425,5250,5425,5300,0
2020-08-24,5300,5250,5350,5300,20000900
2020-08-25,5325,5300,5375,5300,27807900
2020-08-26,5400,5275,5400,5350,29957700
2020-08-27,5375,5250,5400,5300,27491500
2020-08-28,5300,5275,5325,5325,20347900
2020-08-31,5325,5100,5350,5100,42240600
2020-09-01,5175,5100,5250,5250,20881000
2020-09-02,5300,5200,5350,5300,19074500
2020-09-03,5350,5125,5350,5175,38323300
2020-09-04,5100,5025,5150,5050,47966200
2020-09-07,5050,4950,5075,5025,37120700
2020-09-08,5025,5025,5125,5125,22790200
2020-09-09,5025,4900,5025,4900,62626200
2020-09-10,4560,4560,4610,4560,142910700
2020-09-11,4350,4310,4700,4630,76725700
2020-09-14,4780,4700,4830,4790,57904800
2020-09-15,4850,4770,4870,4820,35809700
2020-09-16,4850,4780,4860,4780,21529200
2020-09-17,4770,4770,4880,4860,26234600
2020-09-18,4840,4760,4870,4780,46011300
2020-09-21,4790,4620,4800,4670,23388100
2020-09-22,4600,4590,4740,4670,22893300
2020-09-23,4680,4590,4730,4630,15696100
2020-09-24,4620,4560,4650,4600,24393300
2020-09-25,4610,4610,4920,4860,40064600
2020-09-28,4870,4740,4910,4740,28967600
2020-09-29,4760,4560,4800,4570,31707100
2020-09-30,4560,4450,4570,4460,40490200
2020-10-01,4490,4490,4640,4610,32822900
2020-10-02,4630,4520,4640,4590,33355000
